epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
285,74,pool17cv6zzmue6npvlzlz6trf6p5k4mnnskm3ysctuh048c7k9s64jz,,63913957776169.0,63000000000000.0,63913957776169.0,1
285,75,pool1f6jtzz94508d6x47cct4umuh5c2jpajdyd892hfrrfzquyyza8m,,63694368000618.0,63000000000000.0,63694368000618.0,1
285,76,pool1c7jrfce3zxkk9s9enzpvwj8fuayvx3pdzc2k2es6mrw6gsfcjep,EDEN,63611797195434.0,5000000000000.0,15009349270458.0,3
285,77,pool19lz8nyz0jjpdrdtnjaar4untk4th23gpg5s7aegn7480zff4vgq,MS5,63589875854763.0,100000000000.0,106259506045.0,1
285,78,pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,HYPER,63552051807293.0,200000000000.0,679809126825.0,3
285,79,pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,ADV2,63493926564935.0,500000000000.0,2002539221088.0,4
285,80,pool1a4qtpgce7cu6wzc79fx7qrc3938hkl2gf8c2h5jugvm2gnu86l7,,63452698172065.0,5050000000000.0,20348001508356.0,4
285,81,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,63450207665152.0,3000000000000.0,10032014802765.0,18
285,82,pool1a44j6jas4sjhh3qc96r8rmhsdjxjuntuzxr3440jzwjjcysl9ca,MELD,63213191542898.0,20000000000.0,504509722462.0,2
285,83,pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,TNTM,62998771890582.0,1000000000000.0,3015285846105.0,6
285,84,pool13t6cwz9hhr8xm29pc94zyg5tx3kteqeu8gw2nc3lhzatqegzp6z,,62642912919826.0,20000000000.0,252994013974.0,1
285,85,pool1pshqcksxywy68lt04lw6uf35f4yssekh5dx2mxqmyrukke2z5y3,ACL,62627748448905.0,750000000000.0,4544717836356.0,24
285,86,pool1gjmerqh4wxl553enqeqgc6m3r3gt6yspdg29jy6nuypa6k2tpdt,,62611596094205.0,1000000000.0,12406056980.0,1
285,87,pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,EVE1,62534995817061.0,1000000000.0,5920528959.0,1
285,88,pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h,,62434003092851.0,10000000000.0,21533456912.0,2
285,89,pool1mxqjlrfskhd5kql9kak06fpdh8xjwc76gec76p3taqy2qmfzs5z,IOG1,62392585112287.0,5000000000000.0,5000552940147.0,1
285,90,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,61431493090417.0,225000000000.0,482148678734.0,4
285,91,pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,61171783573482.0,5000000000000.0,15035114311446.0,3
285,92,pool167zl76srpt5a2gthpsq0ye9z4fpray5vsh7xyzcn63hd5mnw7fa,NUFI4,60955918093499.0,30000000000.0,120020004468.0,8
285,93,pool1s0cfkzheywsftgwp0yz7sq4rt5gyf7t5kfwj5a269kpxvndjn6q,OCEA5,60746255437529.0,270000000000.0,1639990795974.0,6
285,94,pool1fpu5xurq3jx5rn626ejcx0dzzzk5lmtvdl2qkj9l4kw2sjp50dz,MS6,60705372582396.0,100000000000.0,105685304416.0,1
285,95,pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0,NDE,60271173127314.0,2000000000.0,9750841343.0,1
285,96,pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,FAIR,60237277116722.0,60000000000.0,187666476045.0,6
285,97,pool1fxmancs3dmc9l0s7u7zrj8334m9nvzam5t5hnuuf4c7cjr6867m,CONGE,60209935328705.0,100000000000.0,272664560864.0,4
285,98,pool13r377w5pmy4tmhuvw0cf9q23asslzjytsruwa27tdnflq7hfjgk,,60162376129879.0,20000000000.0,196864027680.0,1
285,99,pool1vxz0deezj5c2950e7arpzfqxzq8zd9kawsullrzjw5rsq0yhxgr,ZZZ,60002189651830.0,50000000000.0,59474000957.0,1
285,100,pool1kcnh9avc9jgelajcja7y6wsvjdaulkqj02azcszjvm3pwmksr0l,MS7,59772239725634.0,100000000000.0,106027804900.0,1
285,101,pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT7,59754145964954.0,225000000000.0,481149645500.0,4
285,102,pool197e83k4u53l6txk8yr83007efgavngua8wnwp00w3xrqw3pmr4x,CREUS,59022780278569.0,10000000000.0,10993276389.0,1
285,103,pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,SECUR,58985504994069.0,1050000000000.0,2226509224794.0,4
285,104,pool1l37xvdpcl49kr3wscpjp9pr854g06nnjrlndtu3h7k6pvfapgap,,58850710995185.0,1000000000000.0,6650132954472.0,12
285,105,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,58464800562219.0,2500000000000.0,7620209737971.0,12
285,106,pool17qvfg2g843gw6lurru282kkex6vp3pyj6zwj99j4u6k7zvmva5a,1PCT4,58430100072673.0,225000000000.0,483942260048.0,4
285,107,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,ADAFR,58175563557611.0,3030000000000.0,6573841454154.0,2
285,108,pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1PCT5,58093774159385.0,225000000000.0,481471228300.0,4
285,109,pool1dww6s8stvm7dl2n8740s3v5rnxmsuqcl8jcnu64g7cds5w29pft,1PCT3,58043890690853.0,225000000000.0,482257712400.0,4
285,110,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,SWIM,57986410010126.0,425000000000.0,855348364160.0,2
285,111,pool1k4ejdzlnd83l8f8xm5t0m4uv5q0tzexpm23f6cg7lzzayrquzqw,MS8,57818333614249.0,30000000000.0,35172029540.0,1
285,112,pool1s04pdfl3sv5gzuc80322rc4ne0xs7gekux7gtckvvwt7qutjy6w,MS9,57727944837913.0,30000000000.0,71002311004.0,2
285,113,pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,JP2,57659611448635.0,50000000000.0,58198963079.0,1
285,114,pool1uzla0r73fvpnvxr07m98nfzlxcv3q26mkjz00cqjfh7uqsyjkju,1PCT1,57496886295135.0,225000000000.0,483481268194.0,4
285,115,pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,STR8,57427077382937.0,500000000000.0,1035168057226.0,4
