pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_ada_a0_0p3,pi_ada_a0_0p3,U_ada_a0_0p3,coverage_ratio_a0_0p3,category_a0_0p3,f_ada_a0_0p6,pi_ada_a0_0p6,U_ada_a0_0p6,coverage_ratio_a0_0p6,category_a0_0p6,delta_U_ada,delta_r
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,273183.412202,100.0,106.922142,170.0,1.0,True,81.13408354140479,81.13408354140479,-659.9770275697064,0.10947627464357466,losing_lt_025,65.92146837686657,65.92146837686657,-675.1896427342447,0.08894950755499237,losing_lt_025,-15.212615164538306,-0.020526767088582296
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,2211.906006,2000.0,2142.939953,340.0,0.03,True,0.6569250632935418,0.6569250632935418,-740.4541860478176,0.0008864056326299664,losing_lt_025,0.5337520097713561,0.5337520097713561,-740.5773591013399,0.0007202051106360126,losing_lt_025,-0.12317305352223684,-0.00016620052199395373
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,79971298.819684,100.0,4880.056634,340.0,0.05,True,23025.396356854464,1475.584923631789,734.4738125206778,1.9910441248404946,edge,18708.14177919244,1259.471917151654,518.3608060405428,1.6994373694699978,edge,-216.11300648013503,-0.29160675537049685
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,ADAFS,100.79721,10000.0,2.641293,345.0,0.04,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,300000.0,300050.979323,170.0,0.0,True,3413.4750500953546,254.7715992006896,-486.3395119104216,0.34376977403391396,losing_025_050,2776.592853182702,238.1260195366355,-502.9850915744757,0.3213094716386386,losing_025_050,-16.645579664054083,-0.022460302395275356
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,11309160.587532,35000.0,37477.294161,340.0,0.029,True,3359.2155490994514,437.2724388522783,-303.8386722588329,0.5900227810600456,losing_050_075,2729.7312581872543,416.99184901016184,-324.11926210094936,0.5626576673300534,losing_050_075,-20.280589842116456,-0.027365113729992174
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,39.46004,30.0,38.297271,345.0,1.0,True,0.011719426910986408,0.011719426910986408,-741.0993916842002,1.581331966999665e-05,losing_lt_025,0.009522034630179152,0.009522034630179152,-741.101589076481,1.284832258944713e-05,losing_lt_025,-0.0021973922807774215,-2.9649970805495194e-06
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,100.0,101.008551,340.0,0.03,True,0.086565918572977,0.086565918572977,-741.0245451925382,0.000116805587279879,losing_lt_025,0.0703348267195443,0.0703348267195443,-741.0407762843917,9.490456378949005e-05,losing_lt_025,-0.016231091853455837,-2.1901023490388948e-05
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,30000.0,1.831463,340.0,0.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,0.0,97.023027,340.0,0.02,True,0.028815334246098223,0.028815334246098223,-741.0822957768651,3.888126060193163e-05,losing_lt_025,0.02341245907495481,0.02341245907495481,-741.0876986520362,3.1591024239069454e-05,losing_lt_025,-0.0054028751711712175,-7.2902363628621775e-06
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,30000.0,35562.995523,340.0,0.0,True,1265.9415004605273,347.7262217159409,-393.3848893951703,0.46919580141581224,losing_025_050,1028.6960658687171,345.74660331905574,-395.36450779205546,0.4665246521546479,losing_025_050,-1.9796183968851437,-0.0026711492611643517
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,100.0,173.993722,170.0,0.0,True,0.1774456136112408,0.1774456136112408,-740.9336654975,0.00023943186244395308,losing_lt_025,0.14417460751099756,0.14417460751099756,-740.9669365036002,0.0001945384509143895,losing_lt_025,-0.03327100610022171,-4.489341152956358e-05
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0.0,1000.0,0.0,340.0,0.01,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,20000.0,23328.311214,340.0,0.0189,True,4028.199508670734,415.93115466996807,-325.17995644114313,0.561226445581666,losing_050_075,3273.165068558782,400.3868120392312,-340.72429907188,0.5402520702178532,losing_050_075,-15.544342630736878,-0.02097437536381286
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,1000.0,1557.175541,170.0,0.0,True,6.842415881572376,6.842415881572376,-734.2686952295388,0.009232645117563925,losing_lt_025,5.559483482967973,5.559483482967973,-735.5516276281433,0.007501551926043741,losing_lt_025,-1.28293239860443,-0.0017310931915201838
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,100000.0,106108.193574,340.0,0.05,True,2110.800544966567,453.66523666983323,-287.44587444127797,0.6121419985050223,losing_050_075,1715.6803492151103,428.30301804460225,-312.80809306650895,0.5779201143030614,losing_050_075,-25.36221862523098,-0.03422188420196082
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,410000.0,1022.172676,340.0,0.01,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,100.0,619.058768,170.0,0.0,True,63.92252736436223,63.92252736436223,-677.1885837467489,0.08625228579898951,losing_lt_025,51.93707357165173,51.93707357165173,-689.1740375394595,0.0700800093170713,losing_lt_025,-11.985453792710587,-0.016172276481918213
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,0.0,439.569766,340.0,0.05,True,0.8477007036285659,0.8477007036285659,-740.2634104074826,0.001143824037879624,losing_lt_025,0.6887568216982097,0.6887568216982097,-740.422354289413,0.0009293570307771944,losing_lt_025,-0.15894388193032682,-0.00021446700710242962
