pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,Kiln,74073232.951482,4679.600928,0.001910879012,0.000000120720,14966501.840557,38763957566.434639,77527915.132869,500,25999.4062554265,21999.7631772363,21949.1153562154,21503.5668555059,20799.8702537792,19724.1041844728,18754.1511711638,17875.1312528526
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,Morales Stakepool,971.580862,137.688251,0.000000025064,0.000000003552,14966501.840557,38763957566.434639,77527915.132869,500,0.3410189607,0.2885545932,0.2878902325,0.2820458559,0.2728152830,0.2587041772,0.2459810491,0.2344507142
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,,5097.623546,5097.623546,0.000000131504,0.000000131504,14966501.840557,38763957566.434639,77527915.132869,500,1.7892345225,1.5139676742,1.5104819466,1.4798180276,1.4313876197,1.3573503295,1.2905953956,1.2300987369
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,Cardano Thailand,8648242.326177,1040.369948,0.000223100088,0.000000026839,14966501.840557,38763957566.434639,77527915.132869,500,3035.4839554039,2568.4933165126,2562.5797742703,2510.5583876276,2428.3961248452,2302.7917461089,2189.5418964287,2086.9092201559
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,,,0.000000,0.000000,0.000000000000,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,Cardaspians,8631852.650929,100002.076047,0.000222677280,0.000002579770,14966501.840557,38763957566.434639,77527915.132869,500,3030.1139836710,2564.5971463652,2558.7022669979,2506.8450575265,2424.9420951734,2299.7341182429,2186.8416800268,2084.5329078935
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,,6192.921948,7.442557,0.000000159760,0.000000000192,14966501.840557,38763957566.434639,77527915.132869,500,2.1736775472,1.8392656521,1.8350309658,1.7977784621,1.7389420836,1.6489968153,1.5678986225,1.4944033853
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,WALDOpools,2136.948271,2.081122,0.000000055127,0.000000000054,14966501.840557,38763957566.434639,77527915.132869,500,0.7500557060,0.6346625239,0.6332012902,0.6203468284,0.6000445692,0.5690077823,0.5410237941,0.5156633048
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,,1.000000,1.000000,0.000000000026,0.000000000026,14966501.840557,38763957566.434639,77527915.132869,500,0.0003509939,0.0002969948,0.0002963110,0.0002902957,0.0002807951,0.0002662712,0.0002531759,0.0002413083
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,Pier Two,1475.994327,247.639650,0.000000038076,0.000000006388,14966501.840557,38763957566.434639,77527915.132869,500,0.5180650713,0.4383629857,0.4373537114,0.4284751330,0.4144523600,0.3930152473,0.3736867031,0.3561702099
