pool_id,ticker,sigma_ada,pledge_met,unsaturated_k500,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C,r_D,category_D
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,True,True,0.000116805587279879,losing_lt_025,9.490456378949005e-05,losing_lt_025,9.490456378949005e-05,losing_lt_025,0.000116805587279879,losing_lt_025,9.490456378949005e-05,losing_lt_025
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,True,True,3.888126060193163e-05,losing_lt_025,3.1591024239069454e-05,losing_lt_025,3.1591024239069454e-05,losing_lt_025,3.888126060193163e-05,losing_lt_025,3.1591024239069454e-05,losing_lt_025
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,True,True,0.46919580141581224,losing_025_050,0.4665246521546479,losing_025_050,0.23905337689572131,losing_lt_025,0.11460822527689725,losing_lt_025,0.11193707601573293,losing_lt_025
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,True,True,0.00023943186244395308,losing_lt_025,0.0001945384509143895,losing_lt_025,0.0001945384509143895,losing_lt_025,0.00023943186244395308,losing_lt_025,0.0001945384509143895,losing_lt_025
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,True,True,0.561226445581666,losing_050_075,0.5402520702178532,losing_050_075,0.3155892544857095,losing_025_050,0.21101676223450097,losing_lt_025,0.19004238687068803,losing_lt_025
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,True,True,0.009232645117563925,losing_lt_025,0.007501551926043741,losing_lt_025,0.007501551926043741,losing_lt_025,0.009232645117563925,losing_lt_025,0.007501551926043741,losing_lt_025
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,True,True,0.6121419985050223,losing_050_075,0.5779201143030614,losing_050_075,0.36325873242773965,losing_025_050,0.27752278558172644,losing_025_050,0.24330090137976562,losing_lt_025
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,True,True,0.08625228579898951,losing_lt_025,0.0700800093170713,losing_lt_025,0.0700800093170713,losing_lt_025,0.08625228579898951,losing_lt_025,0.0700800093170713,losing_lt_025
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,True,True,0.001143824037879624,losing_lt_025,0.0009293570307771944,losing_lt_025,0.0009293570307771944,losing_lt_025,0.001143824037879624,losing_lt_025,0.0009293570307771944,losing_lt_025
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
