pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,D_base_k500_a0_0p3,D_A_k1000_a0_0p3,D_B_k1000_a0_0p6,D_C_k500_a0_0p6,f_base,f_A,f_B,f_C
pool19yf67fkanhu30qqdcug4gwfy7gpzy8jhq56llg5ua3g3kufg3s5,DSC,35490.0,True,True,0.0,0.0,0.0,0.0,10.540346048022343,10.540348061863215,8.564034996018279,8.564031723526865
pool19yzav2l45q4gcwa53mh9ga6pf5c45t75qtqu6usfzup27qk27j0,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,gjp7a,86322745.389197,True,False,0.00023829002159216455,0.00011825880265399301,9.575295026426006e-05,0.00019327831565152447,23025.38762520742,11512.693901702149,9354.063939917962,18708.127590265995
pool19z9ac79g48kekg2xghx3afj6qp5skr9ar590w0huhc8nxn9s5j9,TOAD,1040.652302,True,True,0.0,0.0,0.0,0.0,0.30906863026104625,0.3090689409431414,0.2511190193684401,0.2511185145100355
pool19zhl50qqzpfvvhdytqg6qx0cthummjyunfyvkfqx9uxrsp7k8ek,BKV,513705.423282,True,True,0.0,0.0,0.0,0.0,152.57918890540878,152.59054579664567,123.99826845830589,123.97981351004594
pool19zz6frugmvm82ecgl5hh5vq3093d4kzr4h2r5vfmt6la7trk929,CVM,35010736.098546,True,True,0.000272919316048876,0.000272919316048876,0.00022001711776365604,0.00022001711776365604,10398.006474087228,10398.006474087228,8448.380260195872,8448.380260195872
pool1a0kp4vl4fh0p0rs8s08rm7qq3vkj3epwraayk3sdgm8sz0zwt7t,BLC2,51361417.153099,True,False,0.0002874724296717911,0.00021535727802747456,0.00017375039174557104,0.00023234348149577734,15254.1327074624,11512.782821944487,9354.20843531176,12394.030783745413
pool1a0wm2emve4y6e3tn8lnhk9vfhk9u7wgjqmrs5zfsn792gjtquu3,,2.015999,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,AOS,48497236.542378,True,False,0.0002831256058955481,0.00022524543668081087,0.0001822396606090854,0.00022907569415957663,14422.881518277423,11543.878177231294,9404.738387652822,11734.398077709156
pool1a26gnntcj3j5v7ng599qncn7uuav2sp560xwlkvp3pqlj822jtl,NASA1,1685.271127,True,True,0.0,0.0,0.0,0.0,0.5005175444800283,0.5005183320982444,0.4066724246688293,0.4066711447892281
pool1a2ffl2d20yransp2p4hqys5vy6hys8kmtchdvlfqale7ywxssjh,ZUND,746608.319851,True,True,6.950688904542248e-05,6.972134857935954e-05,1.4299146260557474e-05,1.3950649517909767e-05,221.89442164827275,222.05453892058154,180.67586156489853,180.41567099739677
pool1a2gt2mvuf5zvtqlvw2xgks2efze3p4r985ft62q64lua7gx7lal,SALT,2974683.855982,True,True,0.00018270839230757094,0.00018271985055380178,0.00012704764699788173,0.0001270290273477566,883.4997049497571,883.5337896098379,717.9265844650988,717.8711968924675
pool1a2nh3ktswllhwf07fjahpdg5mpqyq7j950pyftq9765r6t4cefl,OCEAN,36682461.1297,True,True,0.00027232966006985427,0.0002723462292539116,0.00021885218667260206,0.0002188252617485089,10895.132330881212,10895.764795449508,8853.836452411626,8852.808697488143
pool1a3ekt9me035qgju0en2w39vjns9ggtewnc9fugsmpgczvgtl6u9,SA8,7231744.842891,True,True,0.0002474802567838433,0.00024748044792279576,0.0001923510275803185,0.00019235071697952064,2147.7919906201,2147.7933868505384,1745.084395685609,1745.0821268111463
pool1a3kdettzvvlqvkl9m9hwe63ggeq5fgvz0twqew5c62dzx99vsed,LEAD,7960389.439063,True,True,0.00025176884961295825,0.0002517972315725663,0.00019670303829129264,0.00019665691760692973,2364.422314690943,2364.6505282783405,1921.6492814602127,1921.2784343806927
pool1a40qpxlsqwjk4a9yk636dcawly4dcrd6l26tghjxlr37cmlrwv4,RPO,4306.185517,True,True,0.0,0.0,0.0,0.0,1.2789151785419202,1.2789156619368995,1.0391197608395348,1.0391189753226937
pool1a44j6jas4sjhh3qc96r8rmhsdjxjuntuzxr3440jzwjjcysl9ca,MELD,184188.249802,True,True,0.0,0.0,0.0,0.0,54.70672686884098,54.71050399025514,44.45842053966311,44.45228271736509
pool1a44zldps27avv82mamm2lj33mrrkqdzt39nyrgn5dkk3jtm0wrp,ADD,719786.826334,True,True,0.0,0.0,0.0,0.0,213.77541403502957,213.77788561054894,173.69854821274362,173.69453190252466
pool1a4qtpgce7cu6wzc79fx7qrc3938hkl2gf8c2h5jugvm2gnu86l7,,20728203.293906,True,True,0.00027366608603336125,0.00028239234218704,0.00023751935290795378,0.0002233391866582258,6297.2470781268075,6482.101050071776,5531.527269609677,5231.139565199103
pool1a58fg4u3mcr2zwyqlc4dqd6mnwqjmcussmpmcml9lrmszwedmfy,,4988.631386,True,True,0.0,0.0,0.0,0.0,1.4815981295654383,1.4815986913903574,1.2037998497189573,1.2037989367534636
pool1a5jd3x2udlvpm9mt4gpau4jlags6qtth6jdsguryh2zy27f5ttj,CRDN,3437185.035659,True,True,0.00019413751006017431,0.00019415992159442977,0.00013961513472813902,0.000139578715984974,1020.9046371825814,1020.9832418664272,829.6765835092598,829.5488508980105
